Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 07/21  05:00:00,17.400000000000003,0.005279794032939257,0.0,0.0008629357336446316,0.0,0.0008629357336446316,0.005279794032939257,29.862469029566605,16.062309138509354,24.854979185004824,19.017085293116055,30.676851218079585 
 07/21  05:15:00,17.476000000000004,23.651687192306896,0.0,3.865659514726282,0.0,3.865659514726282,23.651687192306896,29.848172218579646,16.327859289212254,24.85487044700966,19.075709700811787,30.609732703463544 
 07/21  05:30:00,17.552,95.52028509586427,0.0,15.61194750834939,0.0,15.61194750834939,95.52028509586427,29.951567776598446,16.990266945501838,24.956790149717905,19.216776121911324,30.60796782536838 
 07/21  05:45:00,17.628,185.57966139197789,0.0,30.33135767299186,0.0,30.33135767299186,185.57966139197789,30.11115069658192,17.79656712145468,25.149198403723405,19.410118276579455,30.67190927038349 
 07/21  06:00:00,17.704,259.05131283974756,0.0,42.33965061938703,0.0,42.33965061938703,259.05131283974756,30.246602641902528,18.449717726180557,25.35222632787213,19.595854424166306,30.771435379542959 
 07/21  06:15:00,17.970000000000004,322.79310782275658,0.0,52.75768440523668,0.0,52.75768440523668,322.79310782275658,30.406375681991866,19.226526278488238,25.6024121775539,19.90886045546449,30.880875191853588 
 07/21  06:30:00,18.236,378.1904792925955,0.0,61.811895818233228,0.0,61.811895818233228,378.1904792925955,30.553929627684526,19.932953257210778,25.845993884301039,20.207569624935105,30.986078612315237 
 07/21  06:45:00,18.502000000000004,427.15068196483449,0.0,69.81400880763674,0.0,69.81400880763674,427.15068196483449,30.686336429634474,20.58500046503657,26.07528896593135,20.495245779129847,31.084763790936777 
 07/21  07:00:00,18.768,470.7312959136184,0.0,76.93687550204858,0.0,76.93687550204858,470.7312959136184,30.808893472659944,21.19188235883852,26.28768127073181,20.76370165326057,31.1783287127604 
 07/21  07:15:00,19.414,509.8633990513461,0.0,83.33267236827851,0.0,83.33267236827851,509.8633990513461,30.964008229594595,22.122050065338859,26.629656579347967,21.319789892864038,31.274220779100799 
 07/21  07:30:00,20.060000000000004,545.2266348428116,0.0,89.1124811319109,0.0,89.1124811319109,545.2266348428116,31.113136921263849,23.018006226950719,26.97197499243623,21.86484380135289,31.376276110686807 
 07/21  07:45:00,20.706000000000004,577.3141720136619,0.0,94.35690586829826,0.0,94.35690586829826,577.3141720136619,31.261030522545064,23.886201046931306,27.309510662799313,22.405044286850399,31.48365908651304 
 07/21  08:00:00,21.352000000000005,642.6613410377045,1.0,114.55036451451068,1.0,114.55036451451068,642.6613410377045,31.479646114031575,25.498553861480639,27.696152833905388,22.99293102858826,31.601460414178399 
 07/21  08:15:00,22.074000000000006,700.4492387971422,1.0,148.400275742226,1.0,148.400275742226,700.4492387971422,31.76291632947383,27.850266700648839,28.208823786772656,23.756500618965846,31.741136063806914 
 07/21  08:30:00,22.796,771.1311608306031,1.0,181.6859332853047,1.0,181.6859332853047,771.1311608306031,32.06702115794849,30.153675213147275,28.795562208803234,24.596384133025994,31.899370847842634 
 07/21  08:45:00,23.518,857.8090502622636,1.0,214.03428501890327,1.0,214.03428501890327,857.8090502622636,32.3378527911635,32.36495698741649,29.42236751688438,25.46836269495185,32.070260334415397 
 07/21  09:00:00,24.240000000000003,959.3816659647179,1.0,245.12711444530152,1.0,245.12711444530152,959.3816659647179,32.617937986434167,34.511055850980039,30.060824797719194,26.33937497998147,32.24857071825293 
 07/21  09:15:00,24.886000000000004,1096.9714871944812,1.0,275.6123109852702,1.0,275.6123109852702,1096.9714871944812,32.897599452539889,36.53871721069717,30.713495995661334,27.186975164353954,32.43061688543845 
 07/21  09:30:00,25.532000000000005,1220.2027200069566,1.0,302.56390690721346,1.0,302.56390690721346,1220.2027200069566,33.16317659418,38.381854643345018,31.313091300740099,27.961817667714855,32.61369055120543 
 07/21  09:45:00,26.178,1347.2223383992428,1.0,327.5471521373836,1.0,327.5471521373836,1347.2223383992428,33.4250614488026,40.12371681306639,31.89477863066088,28.70794787391941,32.79611125522107 
 07/21  10:00:00,26.824,1473.3974319845214,1.0,350.39270227714067,1.0,350.39270227714067,1473.3974319845214,33.680438475972149,41.75495726575794,32.45957121020126,29.426935177622569,32.97725393935006 
 07/21  10:15:00,27.394000000000003,1611.759491321076,1.0,370.9559079795569,1.0,370.9559079795569,1611.759491321076,33.923950549688608,43.20019425657564,33.0052138755662,30.09077762286546,33.156767721986188 
 07/21  10:30:00,27.964000000000003,1726.7643145729749,1.0,389.11610307378717,1.0,389.11610307378717,1726.7643145729749,34.1573029735431,44.53160908232373,33.499341826823528,30.703369999595908,33.33076441896377 
 07/21  10:45:00,28.534000000000004,1829.8587481931105,1.0,404.7766263303443,1.0,404.7766263303443,1829.8587481931105,34.37984065029191,45.74342504568884,33.95936295629622,31.28745078264683,33.49905189624882 
 07/21  11:00:00,29.104000000000004,1918.6169752000279,1.0,417.86526145593975,1.0,417.86526145593975,1918.6169752000279,34.59087434818183,46.8346589912331,34.38903857020102,31.84577268171506,33.66264144168659 
 07/21  11:15:00,29.484,2003.6268758937472,1.0,428.3344854580784,1.0,428.3344854580784,2003.6268758937472,34.77400279011992,47.62637256171332,34.73113663435106,32.25459969665252,33.81913274602999 
 07/21  11:30:00,29.864,2059.4102948383599,1.0,436.16037706428798,1.0,436.16037706428798,2059.4102948383599,34.94468811076126,48.30847800398416,35.02923635126899,32.626051342657607,33.96662302333304 
 07/21  11:45:00,30.244,2096.7395151478187,1.0,441.33852623222,1.0,441.33852623222,2096.7395151478187,35.10083115223317,48.871054208356,35.29952969296551,32.97514075800245,34.1050961891938 
 07/21  12:00:00,30.624000000000004,2115.1513123681604,1.0,443.87578198323686,1.0,443.87578198323686,2115.1513123681604,35.242331941986709,49.316099736478459,35.541866997008018,33.30210957312988,34.23526848256652 
 07/21  12:15:00,30.928,2104.8348987419456,1.0,443.7794095741742,1.0,443.7794095741742,2104.8348987419456,35.38552670776332,49.57304846307903,35.714935272025858,33.535099679238218,34.36514994180312 
 07/21  12:30:00,31.232000000000004,2085.184598397903,1.0,441.0490776838269,1.0,441.0490776838269,2085.184598397903,35.5381225587306,49.71907020765155,35.887596695517917,33.76905670555482,34.506836768822328 
 07/21  12:45:00,31.536,2046.7880886023407,1.0,435.6772054378135,1.0,435.6772054378135,2046.7880886023407,35.68050826152309,49.74936027773578,36.04886025686358,33.98803733720257,34.6621813165579 
 07/21  13:00:00,31.84,1990.1258334786804,1.0,427.65740824218769,1.0,427.65740824218769,1990.1258334786804,35.81707517042335,49.66339403559639,36.18604058774645,34.18628697241172,34.82477845930459 
 07/21  13:15:00,32.03,1896.0900245619103,1.0,416.99529582830749,1.0,416.99529582830749,1896.0900245619103,35.92976428785351,49.353446541272209,36.23509543331181,34.25987949237344,34.984442666902818 
 07/21  13:30:00,32.22,1807.6279512667048,1.0,403.7164254160008,1.0,403.7164254160008,1807.6279512667048,36.034056682282528,48.933779875744239,36.27610407812415,34.33034207691446,35.1357673706469 
 07/21  13:45:00,32.410000000000007,1705.1908178541849,1.0,387.87011621281007,1.0,387.87011621281007,1705.1908178541849,36.12183666969011,48.398845433731079,36.29064557926307,34.37749255322035,35.277236822149777 
 07/21  14:00:00,32.6,1591.204694667758,1.0,369.53039030548157,1.0,369.53039030548157,1591.204694667758,36.19313727592643,47.751679217957697,36.27238656897191,34.393622260414989,35.408448355230927 
 07/21  14:15:00,32.6,1438.249834262498,1.0,348.7956789943221,1.0,348.7956789943221,1438.249834262498,36.22379277412509,46.81578722965681,36.11523677659159,34.210860213069057,35.524419501181508 
 07/21  14:30:00,32.6,1316.914924758642,1.0,325.7883977964374,1.0,325.7883977964374,1316.914924758642,36.24445372980841,45.783364236704148,35.96099777022647,34.03532434927513,35.624298008940979 
 07/21  14:45:00,32.6,1194.9482964042568,1.0,300.6549697522301,1.0,300.6549697522301,1194.9482964042568,36.2455575313692,44.649247611115807,35.77584704813387,33.82896517815334,35.7100953615895 
 07/21  15:00:00,32.6,1076.7800086175917,1.0,273.56660006391186,1.0,273.56660006391186,1076.7800086175917,36.22914861243034,43.42047226632861,35.54742523900859,33.580774342074509,35.78303936237998 
 07/21  15:15:00,32.372,894.5949108736922,1.0,242.89919048123245,1.0,242.89919048123245,894.5949108736922,36.15196321641016,41.800852659501249,35.06390531134548,32.969923444849658,35.835646754555479 
